Index,Word,Meaning,Synonyms,Conjugation
1,a!,sauti anayoitoa mtu anaposhangaa | sauti anayotoa mtu kuonyesha dharau,,
2,aa!,neno linalotumika kuonyesha kutoridhika| tazama ahaa!,,
4,aa!,"ni neno la kuonyesha mshangao,furaha au kukubali:ahaa! | neno la kuonyesha uchungu: aa! | neno la kuonyesha kukataa",,
5,aalam,(Mungu) mwenye kujua zaidi: Allahu ya aalam,,
6,aali,hali ya juu : Almasi ni madini aali.,"aula, bora, adhimu",
7,aalimu,mtu aliyebobea katika elimu ya dini ya Kiislamu,"mtaalamu, mufti",
8,aalimu,mwenye elimu kubwa ya dini ya Kiislamu,,
9,aathari,"mabaki (yatokanayo) na vitu vya zamani vinavyohusiana na mila, utamaduni na desturi za watu wa jamii fulani kwa mfano: makaburi ya wafalme, nyumba, mahekalu, vigae vya vitu vya ufinyanzi na kadhalika",,
10,aazi,mtu wa thamani,"mwandani, muhibu",
11,aazi,-enye thamani : Fursa niliyopewa ni kitu aazi kwangu.,bora,
12,abaa!,neno linalojenga usikivu wa yule unayemwita,"aisee, halo, oha",
13,abadani,neno la kusisitiza jambo lililotajwa ambalo limekanushwa : Sitakuja kwako abadani.,"hata kidogo, katakata, kamwe, asilani, katu",
14,abadi,neno linaloonyesha kutokoma kwa muda : Anaishi hapa abadi.,"daima, milele",
15,abakusi,kifaa chenye shanga au vihesabio vilivyotungwa kwenye nyuzi au nyaya kwa ajili ya kuhesabia,,
16,abdi,"mlimwengu, mja wa Mwenyezi Mungu",abidi,
17,abedari,roda inayotumiwa kuvutia vitu kwenye jahazi,kapi,
18,abedari,neno linalotumika kumtahadharisha mtu,"simile!, kaa chonjo!",
19,abee!,neno la kuitikia wito litumiwalo na wanawake wanapoitwa,"bee!, beka!",
21,abiri,"safiri kwa chombo cha majini kutoka upande mmoja wa mto, ziwa au bahari hadi upande mwingine : Tuliabiri bahari kwa meli. | ingia chombo cha kusafiri kwa mfano basi, meli, mashua na kadhalika",vuka,"abiria, abirika, abirisha"
22,abiri,toa maelezo ya kitu kwa usahihi na kwa kueleweka vyema | eleza jambo litakalotokea kabla ya kutokea kwake,"tabiri, bashiri","abiria, abirika, abirisha, abiriwa"
23,abiri,pata fundisho kutokana na jambo fulani,"makinika, tahadhari","abiria, abiriana, abirisha"
24,abiria,"mtu anayetoka mahali fulani na kwenda pengine kwa kutumia chombo kwa mfano basi, treni na kadhalika na ambaye si mfanyakazi wa chombo hicho",,
25,abjadi,orodha ya herufi za lugha fulani : Abjadi za Kiswahili,"alfabeti, abtathi",
26,abra,fursa ya kufanya jambo,"nafasi, muda",
27,abtadi,alika kitu au shughuli : Ninaabtadi safari yangu kwa kumwomba Mola, Bismillahi n''abtadi -> ninaanza kwa jina la Mwenyezi Mungu,
28,abtali,wapiganaji,"mashujaa wa vitani, nguli",
29,abtathi,alfabeti,,
30,abu,mzazi wa kiume,baba,
31,abudu,omba Mungu kufuatana na imani fulani,,"abudia, abudisha, abudiwa"
32,abudu,penda kitu au mtu sana,husudu,"abudia, abudiana, abudisha, abudiwa"
33,abudu,mtoto wa bandia,mwanasesere,
34,abunusi,mti ulio na kiini cheusi kikubwa na kigumu kinachotumika kuchongea vinyago au kutengeneza samani,mpingo,
35,abunuwasi,"mhusika mkuu ambaye ni mjanja sana katika hekaya za kale kwa mfano katika ""Hekaya za Abunuwasi'",,
36,aburani,ahadi,,
37,abuwabu,fremu zenye mifuriko zilizopachikwa kwenye sehemu wazi katika jengo na zilizotengwa kwa ajili ya kuingilia au kutokea,milango,
38,abwe!,tamko la kushangaa kwa namna ya kudharau,ebo!,
39,abyadhi,karata isiyokuwa na alama yoyote inayotumika katika mchezo wa dhumna,,
40,abyadhi,enye rangi nyeupe,-eupe,
41,acha,sita kufanya jambo: Juma ameacha shule. | telekeza: aliwaacha watoto wake nyumbani bila ya chakula. | toa maelekezo kuhusu jambo la kufanywa na mtu mwingine wakati unapoondoka mahali: Nilipokwenda kwake sikumkuta lakini niliacha ujumbe. | bakiza kitu : Mg,"saza, taliki, koma","achana, achika, achisha, achwa"
42,acha!,neno linalotumiwa kuonyesha mshangao : Acha wee! Ni kweli usemayo?,,
43,achama,weka kinywa wazi mithili ya mtu apigaye miayo,,"achamia, achamisha"
44,achana,tengana na mtu aghalabu mke na mume: Maganga na mkewe wameachana. | kuwa mbalimbali kwa vitu vilivyokuwa vimeshikana,,"achania, achanisha"
45,achari,mchanganyiko wa matunda pamoja na chumvi na pilipili ambao hutumiwa kukipa chakula ladha,,
46,ache!,neno la kumtakia mtu heri wakati wa sherehe : Ache wana!,,
47,achia,"samehe deni au haki yako, toa hatiani: Mahakama imewaachia huru wafanyabiashara.",,"achiana, achilia, achiwa"
48,achika,"pewa talaka, talikiwa : Baluli ameachika baada ya kugombana na mumewe kwa sababu ya ulevi.",,
49,achisha,simamisha shughuli au tendo fulani lisiendelee: Mkurugenzi amemwachisha kazi karani mkuu.,,
50,ada,"gharama au karo anayolipa mtu ili apatiwe huduma fulani kwa mfano katika elimu, burudani au kupata uanachama katika chama | mila au desturi za jamii fulani: Kila kabila lina ada zake za maziko. | kawaida katika kufanya jambo: Kunywa chai kila jioni ni ada",,
51,adaa,"ulazima unaompasa mtu kuutenda kwa mujibu wa kanuni za dini kwa mfano kuswali, kufunga na kutoa zaka",,
52,adabu,tabia nzuri: Yeye hana adabu.,heshima,
53,Adamu,mtu wa kwanza kuumbwa na Mungu,,
54,adana,ala mojawapo inayotumiwa katika kupigia muziki,,
55,adapta,kitu kinachodhibiti umeme unaoingia kwenye kitu kingine kinachotumia umeme,kirekebu,
56,adeade,udhoofu wa mwili,,
57,adesi,nafaka ya jamii ya kunde yenye rangi ya manjano,dengu,
58,adha,jambo linaloleta usumbufu,"kero, taabu, udhia",
59,adhabu,mateso anayopewa mtu kama njia ya kumrudi kwa kosa alilofanya,,
60,adhama,jambo la heshima kubwa : Ilikuwa ni adhama kutembelewa na Rais.,"utukufu, hadhi",
61,adhana,"mwito wa swala kwa Waislamu : Waislamu wote waliposikia adhana, walikwenda msikitini kuswali.",,
62,adharusi,mapambano makubwa baina ya pande mbili zikitumia silaha,vita,
63,adhibu,-pa mtu adhabu | tesa,,"adhibia, adhibiana, adhibika, adhibisha, adhibiwa"
64,adhifari,harufu mbaya ya mwili,"kikwapa, gugumo",
65,adhimisha,sherehekea tukio muhimu lililopita kwa mfano maadhimisho ya nchi kupata uhuru,,"adhimishia, adhimishika, adhimishwa"
66,adhimisho,kumbukumbu,,
67,adhimu,iliyo na sifa na heshima kubwa : Alipewa makaribisho adhimu alipofika kijijini kwetu. | iliyo kwa wingi : Mkwasi yule ana pesa adhimu.,tukufu,
68,adhini,ita waumini wa Kiislamu kwenye swala msikitini,,"adhinia, adhinisha"
69,adhinia,toa adhana hata kama si wakati wa swala,,"adhinika, adhinishwa, adhiniwa"
70,adhiri,"aibisha mtu aghalabu mbele ya watu, vunjia mtu heshima",,"adhiria, adhiriana, adhirika, adhirisha, adhiriwa"
71,adhirika,"fikwa na tukio la kuaibisha fedheheka, aibika","fedheheka, aibika",
72,adhuhuri,"muda kati ya saa sita mchana na saa tisa mchana: Katika nchi za joto, jua huwa kali sana wakati wa adhuhuri. | swala wanayosali Waislamu wakati wa mchana",,
73,adi,sindikiza mtu kwa lengo la kumuaga,aga,"adia, adika, adisha, adiwa"
74,adia,kitu au fedha anazopewa mtu kumpongeza kwa jambo alilofanya au kuonyesha upendo kwake,"hidaya, zawadi",
75,adibu,"elimisha mtu tabia njema, tia mtu adabu",,"adibia, adibika, adibisha, adibiwa"
76,adibu,"-enye adabu, -enye tabia nzuri, -wa na adabu",,
77,adidi,"tafuta idadi ya vitu | fanya iwe tayari, fanya maandalizi","hesabu, tayarisha","adidia, adidiana, adidika, adidisha, adidiwa"
78,adili,"tenda haki, kutopendelea pendelea",,"adilia, adilika, adilisha"
79,adili,"-enye kutenda haki, -siopendelea",,
80,adilifu,mwenye mwenendo wa kutenda haki bila upendeleo,,
